DATE_TIME;ROOT_DISK_SIZE_VALUE;ROOT_DISK_USED_VALUE;ROOT_DISK_FREE
27-04-24 02:39;51123825;17947164;33176661
27-04-24 02:44;51123825;17947169;33176656
27-04-24 02:49;51123825;17947160;33176665
27-04-24 02:54;51123825;17947166;33176659
27-04-24 02:59;51123825;17947166;33176659
27-04-24 03:04;51123825;17947228;33176597
27-04-24 03:09;51123825;17947168;33176657
27-04-24 03:14;51123825;17947175;33176650
27-04-24 03:19;51123825;17947176;33176649
27-04-24 03:24;51123825;17947229;33176596
27-04-24 03:29;51123825;17947173;33176652
27-04-24 03:34;51123825;17947177;33176648
27-04-24 03:39;51123825;17947174;33176651
27-04-24 03:44;51123825;17947177;33176648
27-04-24 03:49;51123825;17947177;33176648
27-04-24 03:54;51123825;17947178;33176647
27-04-24 03:59;51123825;17947178;33176647
27-04-24 04:04;51123825;17947225;33176600
27-04-24 04:09;51123825;17947180;33176645
27-04-24 04:14;51123825;17943019;33180806
27-04-24 04:19;51123825;17943008;33180817
27-04-24 04:24;51123825;17943009;33180816
27-04-24 04:29;51123825;17946577;33177248
27-04-24 04:34;51123825;17946579;33177246
27-04-24 04:39;51123825;17946579;33177246
27-04-24 04:44;51123825;17946581;33177244
27-04-24 04:49;51123825;17946581;33177244
27-04-24 04:54;51123825;17946582;33177243
27-04-24 04:59;51123825;17946582;33177243
27-04-24 05:04;51123825;17946584;33177241
27-04-24 05:09;51123825;17946584;33177241
27-04-24 05:14;51123825;17946649;33177176
27-04-24 05:19;51123825;17946586;33177239
27-04-24 05:24;51123825;17946588;33177237
27-04-24 05:29;51123825;17946588;33177237
27-04-24 05:34;51123825;17946589;33177236
27-04-24 05:39;51123825;17946589;33177236
27-04-24 05:44;51123825;17946591;33177234
27-04-24 05:49;51123825;17946591;33177234
27-04-24 05:54;51123825;17946593;33177232
27-04-24 05:59;51123825;17946593;33177232
27-04-24 06:04;51123825;17946656;33177169
27-04-24 06:09;51123825;17946595;33177230
27-04-24 06:14;51123825;17946596;33177229
27-04-24 06:19;51123825;17946596;33177229
27-04-24 06:24;51123825;17946599;33177226
27-04-24 06:29;51123825;17948007;33175818
27-04-24 06:34;51123825;17948008;33175817
27-04-24 06:39;51123825;17948003;33175822
27-04-24 06:44;51123825;17948009;33175816
27-04-24 06:49;51123825;17948009;33175816
27-04-24 06:54;51123825;17948012;33175813
27-04-24 06:59;51123825;17948012;33175813
27-04-24 07:04;51123825;17948014;33175811
27-04-24 07:09;51123825;17948014;33175811
27-04-24 07:14;51123825;17948016;33175809
27-04-24 07:19;51123825;17948011;33175814
27-04-24 07:24;51123825;17948017;33175808
27-04-24 07:29;51123825;17948017;33175808
27-04-24 07:34;51123825;17948019;33175806
27-04-24 07:39;51123825;17948014;33175811
27-04-24 07:44;51123825;17948021;33175804
27-04-24 07:49;51123825;17948016;33175809
27-04-24 07:54;51123825;17948022;33175803
27-04-24 07:59;51123825;17948022;33175803
27-04-24 08:04;51123825;17948086;33175739
27-04-24 08:09;51123825;17948025;33175800
27-04-24 08:14;51123825;17948027;33175798
27-04-24 08:19;51123825;17948027;33175798
27-04-24 08:24;51123825;17948029;33175796
27-04-24 08:29;51123825;17948029;33175796
27-04-24 08:34;51123825;17948031;33175794
27-04-24 08:39;51123825;17948031;33175794
27-04-24 08:44;51123825;17948032;33175793
27-04-24 08:49;51123825;17948032;33175793
27-04-24 08:54;51123825;17948029;33175796
27-04-24 08:59;51123825;17948034;33175791
27-04-24 09:04;51123825;17948036;33175789
27-04-24 09:09;51123825;17948036;33175789
27-04-24 09:14;51123825;17948155;33175670
27-04-24 09:19;51123825;17948038;33175787
27-04-24 09:24;51123825;17948039;33175786
27-04-24 09:29;51123825;17948039;33175786
27-04-24 09:34;51123825;17948041;33175784
27-04-24 09:39;51123825;17948041;33175784
27-04-24 09:44;51123825;17948043;33175782
27-04-24 09:49;51123825;17948044;33175781
27-04-24 09:54;51123825;17948045;33175780
27-04-24 09:59;51123825;17948045;33175780
27-04-24 10:04;51123825;17948047;33175778
27-04-24 10:09;51123825;17948047;33175778
27-04-24 10:14;51123825;17948049;33175776
27-04-24 10:19;51123825;17948049;33175776
27-04-24 10:24;51123825;17948051;33175774
27-04-24 10:29;51123825;17948051;33175774
27-04-24 10:34;51123825;17948166;33175659
27-04-24 10:39;51123825;17652153;33471672
27-04-24 10:44;51123825;17652158;33471667
27-04-24 10:49;51123825;17652156;33471669
27-04-24 10:54;51123825;17652159;33471666
27-04-24 10:59;51123825;17652285;33471540
27-04-24 11:04;51123825;17652282;33471543
27-04-24 11:09;51123825;17652172;33471653
27-04-24 11:14;51123825;17652175;33471650
27-04-24 11:19;51123825;17652175;33471650
27-04-24 11:24;51123825;17652177;33471648
27-04-24 11:29;51123825;17652177;33471648
27-04-24 11:34;51123825;17652179;33471646
